Model,Intercept,Slope,R²,Log-Likelihood
Subject-level Random Intercept Model,0.8601710741334542,-0.37217112709990385,0.7616017084926381,969.8445169441811
Subject-level Random Slope on Organ Model,0.774058495718502,-0.34348962845167164,0.747509694974355,2065.022486322039
