Model,Intercept,Slope,R²,Log-Likelihood
Subject-level Random Intercept Model,1.3685730731135415,-0.36696666337821787,0.7470250204495478,912.0656272078713
Organ-level Random Slope on Volume Model,0.979453536341192,-0.17420485557440163,-0.23867525436515202,1425.6830995815599
Subject-level Random Slope on Organ Model,0.9510099571559393,-0.2577752798661852,0.6563203956037238,2004.4090546460184
